category,Weekday_00-02,Weekday_02-04,Weekday_04-06,Weekday_06-08,Weekday_08-10,Weekday_10-12,Weekday_12-14,Weekday_14-16,Weekday_16-18,Weekday_18-20,Weekday_20-22,Weekday_22-24,Weekend_00-02,Weekend_02-04,Weekend_04-06,Weekend_06-08,Weekend_08-10,Weekend_10-12,Weekend_12-14,Weekend_14-16,Weekend_16-18,Weekend_18-20,Weekend_20-22,Weekend_22-24
Mall,0.0247,0.0132,0.0149,0.0115,0.0132,0.0173,0.0207,0.0228,0.0265,0.0228,0.0195,0.0101,0.0069,0.0147,0.0107,0.0094,0.0124,0.0251,0.0274,0.0283,0.0316,0.0290,0.0212,0.0083
Market,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Martial Arts Dojo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000
Medical Center,0.0000,0.0000,0.0000,0.0001,0.0005,0.0012,0.0006,0.0011,0.0004,0.0006,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0014,0.0010,0.0009,0.0007,0.0003,0.0000,0.0000
Medical School,0.0004,0.0000,0.0020,0.0000,0.0002,0.0007,0.0002,0.0000,0.0001,0.0001,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000,0.0000
Mediterranean Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
Meeting Room,0.0000,0.0000,0.0014,0.0000,0.0002,0.0003,0.0006,0.0004,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0009,0.0007,0.0003,0.0002,0.0002,0.0001,0.0000,0.0000
Men's Store,0.0000,0.0000,0.0000,0.0002,0.0000,0.0003,0.0001,0.0005,0.0005,0.0004,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0008,0.0010,0.0009,0.0005,0.0000
Mexican Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0005,0.0001,0.0002
Middle Eastern Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0002,0.0004,0.0002,0.0000
Middle School,0.0004,0.0000,0.0007,0.0002,0.0002,0.0001,0.0000,0.0001,0.0001,0.0001,0.0002,0.0001,0.0000,0.0000,0.0000,0.0003,0.0004,0.0002,0.0002,0.0000,0.0000,0.0003,0.0000,0.0000
Military Base,0.0019,0.0026,0.0034,0.0002,0.0010,0.0007,0.0006,0.0009,0.0014,0.0006,0.0004,0.0006,0.0006,0.0059,0.0029,0.0006,0.0005,0.0002,0.0003,0.0003,0.0003,0.0003,0.0005,0.0003
Miscellaneous Shop,0.0090,0.0079,0.0020,0.0019,0.0035,0.0057,0.0080,0.0071,0.0104,0.0100,0.0082,0.0049,0.0094,0.0118,0.0068,0.0033,0.0018,0.0073,0.0083,0.0112,0.0141,0.0125,0.0068,0.0054
Mobile Phone Shop,0.0004,0.0000,0.0007,0.0003,0.0003,0.0030,0.0030,0.0036,0.0047,0.0040,0.0010,0.0001,0.0000,0.0000,0.0000,0.0000,0.0007,0.0032,0.0040,0.0064,0.0053,0.0061,0.0016,0.0000
Mongolian Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Monument / Landmark,0.0179,0.0106,0.0047,0.0126,0.0015,0.0032,0.0028,0.0034,0.0026,0.0035,0.0101,0.0210,0.0119,0.0059,0.0126,0.0121,0.0052,0.0042,0.0053,0.0046,0.0053,0.0056,0.0053,0.0089
Mosque,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Motel,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0029,0.0000,0.0003,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Mountain,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
Movie Theater,0.0000,0.0000,0.0000,0.0001,0.0002,0.0008,0.0011,0.0011,0.0012,0.0009,0.0025,0.0006,0.0000,0.0000,0.0000,0.0003,0.0025,0.0020,0.0013,0.0022,0.0020,0.0016,0.0027,0.0010
Moving Target,0.0004,0.0026,0.0000,0.0010,0.0006,0.0005,0.0003,0.0005,0.0007,0.0004,0.0003,0.0002,0.0006,0.0000,0.0010,0.0003,0.0004,0.0013,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002
Multiplex,0.0000,0.0000,0.0000,0.0000,0.0003,0.0015,0.0008,0.0015,0.0012,0.0008,0.0012,0.0011,0.0006,0.0000,0.0000,0.0015,0.0031,0.0026,0.0021,0.0017,0.0014,0.0017,0.0026,0.0013
Museum,0.0000,0.0000,0.0000,0.0000,0.0001,0.0006,0.0005,0.0009,0.0007,0.0002,0.0001,0.0001,0.0000,0.0000,0.0010,0.0006,0.0008,0.0007,0.0016,0.0013,0.0010,0.0004,0.0002,0.0002
Music Store,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0005,0.0007,0.0005,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0007,0.0048,0.0012,0.0011,0.0005,0.0001,0.0002
Music Venue,0.0000,0.0026,0.0014,0.0000,0.0002,0.0013,0.0003,0.0009,0.0008,0.0009,0.0007,0.0008,0.0013,0.0000,0.0010,0.0003,0.0005,0.0028,0.0030,0.0012,0.0019,0.0020,0.0012,0.0010
Nail Salon,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000
Neighborhood,0.0007,0.0000,0.0007,0.0009,0.0009,0.0008,0.0014,0.0013,0.0020,0.0026,0.0013,0.0013,0.0019,0.0088,0.0010,0.0006,0.0010,0.0022,0.0017,0.0022,0.0019,0.0019,0.0010,0.0006
New American Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0001,0.0000,0.0002,0.0000
Newsstand,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0001,0.0001,0.0000,0.0000,0.0000
Nightclub,0.0011,0.0079,0.0007,0.0000,0.0000,0.0002,0.0001,0.0003,0.0003,0.0006,0.0008,0.0011,0.0088,0.0177,0.0049,0.0006,0.0004,0.0004,0.0009,0.0013,0.0012,0.0010,0.0004,0.0035
Nightlife Spot,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002
Non-Profit,0.0000,0.0026,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
Nursery School,0.0007,0.0000,0.0000,0.0001,0.0004,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
Office,0.0049,0.0291,0.0061,0.0094,0.0270,0.0254,0.0196,0.0167,0.0109,0.0082,0.0059,0.0054,0.0019,0.0177,0.0019,0.0064,0.0085,0.0058,0.0062,0.0046,0.0048,0.0036,0.0031,0.0051
Opera House,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
Optical Shop,0.0000,0.0000,0.0000,0.0006,0.0000,0.0003,0.0005,0.0005,0.0003,0.0005,0.0002,0.0001,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0004,0.0008,0.0009,0.0010,0.0004,0.0000
Other Great Outdoors,0.0067,0.0212,0.0285,0.0155,0.0017,0.0038,0.0020,0.0027,0.0035,0.0018,0.0015,0.0017,0.0025,0.0118,0.0117,0.0055,0.0038,0.0034,0.0035,0.0034,0.0025,0.0027,0.0020,0.0011
Other Nightlife,0.0000,0.0053,0.0000,0.0012,0.0001,0.0000,0.0005,0.0003,0.0006,0.0010,0.0021,0.0013,0.0025,0.0059,0.0000,0.0015,0.0005,0.0002,0.0002,0.0002,0.0011,0.0016,0.0023,0.0013
Outdoors & Recreation,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0001,0.0001,0.0002,0.0001,0.0000,0.0000
Paella Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000
Paintball Field,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Paper / Office Supplies Store,0.0000,0.0000,0.0007,0.0000,0.0001,0.0007,0.0004,0.0010,0.0007,0.0005,0.0001,0.0000,0.0000,0.0000,0.0010,0.0003,0.0000,0.0008,0.0008,0.0013,0.0009,0.0008,0.0002,0.0002
Park,0.0138,0.0212,0.0237,0.0165,0.0119,0.0083,0.0136,0.0085,0.0082,0.0068,0.0071,0.0062,0.0094,0.0383,0.0097,0.0191,0.0162,0.0123,0.0111,0.0128,0.0093,0.0049,0.0059,0.0062
Parking,0.0011,0.0000,0.0027,0.0034,0.0051,0.0017,0.0016,0.0018,0.0012,0.0012,0.0022,0.0023,0.0025,0.0029,0.0039,0.0048,0.0047,0.0024,0.0016,0.0021,0.0014,0.0018,0.0017,0.0027
Performing Arts Venue,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0002,0.0007,0.0004,0.0004,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0003,0.0006,0.0007,0.0005,0.0005,0.0004,0.0000,0.0002
Peruvian Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pet Service,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Pet Store,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0002,0.0002,0.0003,0.0004,0.0008,0.0002,0.0000
Photography Lab,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0003,0.0000
Piano Bar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000
Pier,0.0000,0.0000,0.0000,0.0003,0.0000,0.0001,0.0003,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0005,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0000
Pizza Place,0.0011,0.0026,0.0007,0.0000,0.0000,0.0004,0.0016,0.0011,0.0004,0.0007,0.0017,0.0014,0.0025,0.0000,0.0010,0.0000,0.0003,0.0005,0.0008,0.0006,0.0006,0.0013,0.0020,0.0017
Plane,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Planetarium,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0003,0.0002,0.0002,0.0000,0.0000
Platform,0.0075,0.0026,0.0115,0.0181,0.0244,0.0130,0.0126,0.0192,0.0205,0.0188,0.0188,0.0231,0.0081,0.0029,0.0156,0.0148,0.0191,0.0137,0.0114,0.0121,0.0125,0.0143,0.0152,0.0211
Playground,0.0015,0.0026,0.0014,0.0027,0.0006,0.0040,0.0012,0.0024,0.0009,0.0007,0.0017,0.0020,0.0013,0.0088,0.0019,0.0015,0.0013,0.0024,0.0017,0.0021,0.0017,0.0010,0.0014,0.0017
Plaza,0.0011,0.0000,0.0007,0.0008,0.0019,0.0084,0.0025,0.0034,0.0038,0.0032,0.0024,0.0013,0.0013,0.0029,0.0010,0.0015,0.0031,0.0048,0.0033,0.0035,0.0030,0.0018,0.0024,0.0011
Police Station,0.0015,0.0000,0.0000,0.0006,0.0006,0.0065,0.0011,0.0009,0.0006,0.0008,0.0004,0.0010,0.0019,0.0029,0.0000,0.0009,0.0012,0.0020,0.0011,0.0009,0.0007,0.0006,0.0007,0.0000
Pool,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0003,0.0004,0.0003,0.0000,0.0006,0.0000,0.0000,0.0000,0.0001,0.0002,0.0001,0.0002,0.0002,0.0003,0.0002,0.0002
Pool Hall,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0001,0.0003,0.0002,0.0000,0.0002
Portuguese Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Post Office,0.0015,0.0053,0.0014,0.0005,0.0011,0.0043,0.0038,0.0051,0.0029,0.0018,0.0017,0.0019,0.0056,0.0088,0.0010,0.0009,0.0020,0.0019,0.0012,0.0014,0.0021,0.0015,0.0010,0.0016
Professional & Other Places,0.0000,0.0000,0.0000,0.0003,0.0000,0.0003,0.0001,0.0002,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0010,0.0003,0.0000,0.0002,0.0001,0.0002,0.0000,0.0001,0.0001,0.0000
Pub,0.0034,0.0000,0.0000,0.0000,0.0002,0.0002,0.0011,0.0012,0.0016,0.0031,0.0024,0.0028,0.0081,0.0059,0.0000,0.0006,0.0001,0.0001,0.0010,0.0013,0.0040,0.0059,0.0066,0.0048
Public Art,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000
Racetrack,0.0011,0.0000,0.0000,0.0001,0.0001,0.0003,0.0002,0.0006,0.0001,0.0002,0.0001,0.0003,0.0000,0.0000,0.0000,0.0012,0.0005,0.0012,0.0017,0.0011,0.0005,0.0002,0.0002,0.0002
Radio Station,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0002
Ramen /  Noodle House,0.0194,0.0291,0.0081,0.0054,0.0033,0.0193,0.0433,0.0179,0.0100,0.0159,0.0258,0.0193,0.0244,0.0354,0.0165,0.0076,0.0039,0.0146,0.0280,0.0162,0.0106,0.0183,0.0267,0.0179
Ramen / Noodle House,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Real Estate Office,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Record Shop,0.0004,0.0000,0.0000,0.0001,0.0000,0.0013,0.0022,0.0032,0.0035,0.0030,0.0023,0.0005,0.0000,0.0000,0.0000,0.0000,0.0001,0.0024,0.0027,0.0023,0.0045,0.0036,0.0023,0.0005
Recycling Facility,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0004,0.0002,0.0001,0.0001,0.0006,0.0000,0.0000,0.0000,0.0000,0.0002,0.0004,0.0005,0.0007,0.0003,0.0000,0.0000
Rental Car Location,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0019,0.0000,0.0003,0.0002,0.0000,0.0000,0.0000,0.0002,0.0000,0.0002
Residential Building (Apartment / Condo),0.0034,0.0053,0.0014,0.0003,0.0007,0.0003,0.0004,0.0005,0.0004,0.0005,0.0013,0.0016,0.0019,0.0000,0.0000,0.0000,0.0001,0.0005,0.0007,0.0006,0.0005,0.0004,0.0005,0.0008
Resort,0.0004,0.0000,0.0007,0.0001,0.0003,0.0004,0.0000,0.0002,0.0001,0.0002,0.0001,0.0000,0.0013,0.0000,0.0000,0.0006,0.0010,0.0005,0.0000,0.0004,0.0002,0.0001,0.0005,0.0002
Rest Area,0.0000,0.0053,0.0014,0.0002,0.0006,0.0005,0.0003,0.0006,0.0003,0.0003,0.0005,0.0001,0.0019,0.0029,0.0049,0.0012,0.0012,0.0005,0.0007,0.0002,0.0003,0.0002,0.0006,0.0002
Restaurant,0.0041,0.0053,0.0007,0.0008,0.0008,0.0025,0.0057,0.0022,0.0021,0.0024,0.0038,0.0025,0.0050,0.0029,0.0058,0.0036,0.0012,0.0024,0.0046,0.0039,0.0035,0.0055,0.0077,0.0048
River,0.0004,0.0000,0.0000,0.0080,0.0026,0.0003,0.0002,0.0004,0.0021,0.0028,0.0007,0.0007,0.0000,0.0000,0.0010,0.0021,0.0010,0.0029,0.0004,0.0018,0.0010,0.0004,0.0008,0.0010
Road,0.0639,0.0794,0.0366,0.0245,0.0251,0.0167,0.0114,0.0147,0.0183,0.0165,0.0198,0.0215,0.0507,0.0855,0.0350,0.0164,0.0214,0.0140,0.0139,0.0120,0.0128,0.0178,0.0182,0.0194
Rock Climbing Spot,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Rock Club,0.0007,0.0000,0.0000,0.0000,0.0000,0.0004,0.0003,0.0005,0.0009,0.0009,0.0004,0.0005,0.0025,0.0000,0.0010,0.0009,0.0001,0.0027,0.0021,0.0018,0.0027,0.0023,0.0010,0.0014
Sake Bar,0.0045,0.0053,0.0000,0.0001,0.0003,0.0024,0.0045,0.0015,0.0030,0.0071,0.0085,0.0064,0.0069,0.0059,0.0019,0.0006,0.0005,0.0007,0.0017,0.0025,0.0064,0.0119,0.0170,0.0103
Salad Place,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Salon / Barbershop,0.0004,0.0026,0.0007,0.0002,0.0001,0.0018,0.0007,0.0012,0.0011,0.0008,0.0003,0.0001,0.0006,0.0029,0.0000,0.0000,0.0005,0.0025,0.0019,0.0018,0.0015,0.0013,0.0004,0.0003
Sandwich Place,0.0000,0.0000,0.0000,0.0003,0.0004,0.0004,0.0021,0.0005,0.0005,0.0004,0.0006,0.0001,0.0000,0.0000,0.0000,0.0003,0.0001,0.0009,0.0010,0.0007,0.0007,0.0004,0.0004,0.0000
Scandinavian Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000
Scenic Lookout,0.0000,0.0053,0.0054,0.0035,0.0006,0.0012,0.0009,0.0011,0.0010,0.0008,0.0007,0.0004,0.0006,0.0029,0.0019,0.0030,0.0013,0.0015,0.0016,0.0014,0.0013,0.0013,0.0012,0.0002
School,0.0011,0.0000,0.0000,0.0001,0.0007,0.0005,0.0011,0.0007,0.0009,0.0004,0.0003,0.0003,0.0013,0.0029,0.0000,0.0000,0.0014,0.0013,0.0012,0.0006,0.0004,0.0005,0.0002,0.0002
Science Museum,0.0000,0.0000,0.0000,0.0003,0.0000,0.0008,0.0017,0.0010,0.0004,0.0008,0.0001,0.0003,0.0000,0.0000,0.0000,0.0003,0.0014,0.0007,0.0013,0.0012,0.0003,0.0000,0.0000,0.0000
Sculpture Garden,0.0019,0.0000,0.0047,0.0031,0.0007,0.0012,0.0006,0.0005,0.0007,0.0009,0.0011,0.0009,0.0044,0.0000,0.0019,0.0021,0.0028,0.0024,0.0007,0.0011,0.0009,0.0010,0.0016,0.0027
Seafood Restaurant,0.0000,0.0000,0.0000,0.0001,0.0000,0.0006,0.0008,0.0000,0.0004,0.0008,0.0010,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0004,0.0005,0.0012,0.0008,0.0005
Shoe Store,0.0004,0.0000,0.0000,0.0001,0.0001,0.0001,0.0002,0.0008,0.0007,0.0010,0.0013,0.0003,0.0000,0.0000,0.0000,0.0003,0.0000,0.0005,0.0005,0.0009,0.0010,0.0010,0.0011,0.0002
Shop & Service,0.0004,0.0000,0.0000,0.0003,0.0001,0.0003,0.0002,0.0005,0.0005,0.0004,0.0002,0.0001,0.0000,0.0000,0.0000,0.0006,0.0000,0.0002,0.0004,0.0010,0.0004,0.0006,0.0002,0.0003
Shrine,0.0149,0.0423,0.0380,0.0041,0.0027,0.0051,0.0048,0.0052,0.0046,0.0024,0.0014,0.0032,0.0088,0.0118,0.0185,0.0042,0.0039,0.0046,0.0064,0.0080,0.0049,0.0028,0.0021,0.0025
Skate Park,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000
Skating Rink,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0000,0.0000,0.0000,0.0000
Smoke Shop,0.0007,0.0000,0.0000,0.0004,0.0025,0.0069,0.0025,0.0021,0.0015,0.0016,0.0013,0.0030,0.0013,0.0000,0.0000,0.0009,0.0012,0.0007,0.0012,0.0011,0.0014,0.0014,0.0008,0.0016
Snack Place,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0004,0.0004,0.0002,0.0002,0.0002,0.0000,0.0000,0.0000,0.0000,0.0003,0.0001,0.0006,0.0001,0.0005,0.0004,0.0002,0.0002,0.0002
Soccer Field,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.0001,0.0001,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0003,0.0002,0.0004,0.0003,0.0002,0.0001,0.0000,0.0003
Soccer Stadium,0.0000,0.0000,0.0000,0.0000,0.0001,0.0004,0.0001,0.0001,0.0002,0.0003,0.0007,0.0003,0.0000,0.0000,0.0000,0.0000,0.0008,0.0013,0.0015,0.0016,0.0018,0.0008,0.0002,0.0000
Sorority House,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0002
Soup Place,0.0000,0.0000,0.0000,0.0004,0.0002,0.0003,0.0005,0.0003,0.0003,0.0001,0.0001,0.0000,0.0000,0.0000,0.0010,0.0003,0.0001,0.0004,0.0005,0.0004,0.0004,0.0003,0.0003,0.0003
South American Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000
Spa / Massage,0.0026,0.0000,0.0000,0.0003,0.0002,0.0003,0.0004,0.0006,0.0009,0.0008,0.0013,0.0017,0.0025,0.0029,0.0000,0.0015,0.0007,0.0012,0.0008,0.0012,0.0012,0.0018,0.0018,0.0029
Spanish Restaurant,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0002,0.0001,0.0002,0.0000,0.0000,0.0000,0.0000,0.0001,0.0002,0.0002,0.0001,0.0001,0.0005,0.0003,0.0002
Speakeasy,0.0011,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0001,0.0003,0.0006,0.0006,0.0029,0.0000,0.0003,0.0001,0.0002,0.0001,0.0001,0.0002,0.0003,0.0002,0.0005
Spiritual Center,0.0000,0.0000,0.0007,0.0004,0.0007,0.0003,0.0004,0.0005,0.0006,0.0008,0.0005,0.0004,0.0000,0.0000,0.0000,0.0006,0.0001,0.0007,0.0006,0.0004,0.0003,0.0003,0.0006,0.0000
Sporting Goods Shop,0.0000,0.0000,0.0000,0.0000,0.0001,0.0010,0.0009,0.0017,0.0023,0.0018,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0009,0.0020,0.0026,0.0039,0.0030,0.0025,0.0007,0.0002
